Word,Pronunciation,Alignment
ablest,EY B AH L S T,"[('a', 'EY'), ('b', 'B'), ('$', 'AH'), ('l', 'L'), ('e', '#'), ('s', 'S'), ('t', 'T')]"
abloom,AH B L UW M,"[('a', 'AH'), ('b', 'B'), ('l', 'L'), ('o', '#'), ('o', 'UW'), ('m', 'M')]"
ablution,AH B L UW SH AH N,"[('a', 'AH'), ('b', 'B'), ('l', 'L'), ('u', 'UW'), ('t', 'SH'), ('i', '#'), ('o', 'AH'), ('n', 'N')]"
ably,EY B L IY,"[('a', 'EY'), ('b', 'B'), ('l', 'L'), ('y', 'IY')]"
abnegation,AE B N EH G EY SH AH N,"[('a', 'AE'), ('b', 'B'), ('n', 'N'), ('e', 'EH'), ('g', 'G'), ('$', 'EY'), ('$', 'SH'), ('a', 'AH'), ('t', '#'), ('i', '#'), ('o', '#'), ('n', 'N')]"
abner,AE B N ER,"[('a', 'AE'), ('b', 'B'), ('n', 'N'), ('e', 'ER'), ('r', '#')]"
abney,AE B N IY,"[('a', 'AE'), ('b', 'B'), ('n', 'N'), ('e', 'IY'), ('y', '#')]"
abnormal,AE B N AO R M AH L,"[('a', 'AE'), ('b', 'B'), ('n', 'N'), ('o', 'AO'), ('r', 'R'), ('m', 'M'), ('a', 'AH'), ('l', 'L')]"
abnormalities,AE B N AO R M AE L AH T IY Z,"[('a', 'AE'), ('b', 'B'), ('n', 'N'), ('o', 'AO'), ('r', 'R'), ('m', 'M'), ('a', 'AE'), ('l', 'L'), ('i', 'AH'), ('t', 'T'), ('i', '#'), ('e', 'IY'), ('s', 'Z')]"
abnormality,AE B N AO R M AE L AH T IY,"[('a', 'AE'), ('b', 'B'), ('n', 'N'), ('o', 'AO'), ('r', 'R'), ('m', 'M'), ('a', 'AE'), ('l', 'L'), ('i', 'AH'), ('t', 'T'), ('y', 'IY')]"
abnormally,AE B N AO R M AH L IY,"[('a', 'AE'), ('b', 'B'), ('n', 'N'), ('o', 'AO'), ('r', 'R'), ('m', 'M'), ('a', 'AH'), ('l', '#'), ('l', 'L'), ('y', 'IY')]"
aboard,AH B AO R D,"[('a', 'AH'), ('b', 'B'), ('o', 'AO'), ('a', '#'), ('r', 'R'), ('d', 'D')]"
abode,AH B OW D,"[('a', 'AH'), ('b', 'B'), ('o', 'OW'), ('d', 'D'), ('e', '#')]"
abohalima,AE B AH HH AH L IY M AH,"[('a', 'AE'), ('b', 'B'), ('o', 'AH'), ('h', 'HH'), ('a', 'AH'), ('l', 'L'), ('i', 'IY'), ('m', 'M'), ('a', 'AH')]"
abolish,AH B AA L IH SH,"[('a', 'AH'), ('b', 'B'), ('o', 'AA'), ('l', 'L'), ('i', 'IH'), ('s', 'SH'), ('h', '#')]"
abolished,AH B AA L IH SH T,"[('a', 'AH'), ('b', 'B'), ('o', 'AA'), ('l', 'L'), ('i', 'IH'), ('s', 'SH'), ('h', '#'), ('e', 'T'), ('d', '#')]"
abolishes,AH B AA L IH SH IH Z,"[('a', 'AH'), ('b', 'B'), ('o', 'AA'), ('l', 'L'), ('i', 'IH'), ('s', 'SH'), ('h', '#'), ('e', 'IH'), ('s', 'Z')]"
abolishing,AH B AA L IH SH IH NG,"[('a', 'AH'), ('b', 'B'), ('o', 'AA'), ('l', 'L'), ('i', 'IH'), ('s', 'SH'), ('h', '#'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
abolition,AE B AH L IH SH AH N,"[('a', 'AE'), ('b', 'B'), ('o', 'AH'), ('l', 'L'), ('i', 'IH'), ('t', 'SH'), ('i', '#'), ('o', 'AH'), ('n', 'N')]"
abolitionism,AE B AH L IH SH AH N IH Z AH M,"[('a', 'AE'), ('b', 'B'), ('o', 'AH'), ('l', 'L'), ('i', 'IH'), ('t', 'SH'), ('i', '#'), ('o', 'AH'), ('n', 'N'), ('i', 'IH'), ('s', 'Z'), ('$', 'AH'), ('m', 'M')]"
abolitionist,AE B AH L IH SH AH N AH S T,"[('a', 'AE'), ('b', 'B'), ('o', 'AH'), ('l', 'L'), ('i', 'IH'), ('t', 'SH'), ('i', '#'), ('o', 'AH'), ('n', 'N'), ('i', 'AH'), ('s', 'S'), ('t', 'T')]"
abominable,AH B AA M AH N AH B AH L,"[('a', 'AH'), ('b', 'B'), ('o', 'AA'), ('m', 'M'), ('i', 'AH'), ('n', 'N'), ('a', 'AH'), ('b', 'B'), ('$', 'AH'), ('l', 'L'), ('e', '#')]"
abomination,AH B AA M AH N EY SH AH N,"[('a', 'AH'), ('b', 'B'), ('o', 'AA'), ('m', 'M'), ('i', 'AH'), ('n', 'N'), ('$', 'EY'), ('$', 'SH'), ('a', 'AH'), ('t', '#'), ('i', '#'), ('o', '#'), ('n', 'N')]"
abood,AH B UW D,"[('a', 'AH'), ('b', 'B'), ('o', '#'), ('o', 'UW'), ('d', 'D')]"
aboodi,AH B UW D IY,"[('a', 'AH'), ('b', 'B'), ('o', '#'), ('o', 'UW'), ('d', 'D'), ('i', 'IY')]"
abor,AH B AO R,"[('a', 'AH'), ('b', 'B'), ('o', 'AO'), ('r', 'R')]"
aboriginal,AE B ER IH JH AH N AH L,"[('a', 'AE'), ('b', 'B'), ('o', '#'), ('r', 'ER'), ('i', 'IH'), ('g', 'JH'), ('i', 'AH'), ('n', 'N'), ('a', 'AH'), ('l', 'L')]"
aborigine,AE B ER IH JH AH N IY,"[('a', 'AE'), ('b', 'B'), ('o', '#'), ('r', 'ER'), ('i', 'IH'), ('g', 'JH'), ('i', 'AH'), ('n', 'N'), ('e', 'IY')]"
aborn,AH B AO R N,"[('a', 'AH'), ('b', 'B'), ('o', 'AO'), ('r', 'R'), ('n', 'N')]"
abort,AH B AO R T,"[('a', 'AH'), ('b', 'B'), ('o', 'AO'), ('r', 'R'), ('t', 'T')]"
aborted,AH B AO R T IH D,"[('a', 'AH'), ('b', 'B'), ('o', 'AO'), ('r', 'R'), ('t', 'T'), ('e', 'IH'), ('d', 'D')]"
abortifacient,AH B AO R T AH F EY SH AH N T,"[('a', 'AH'), ('b', 'B'), ('o', 'AO'), ('r', 'R'), ('t', 'T'), ('i', 'AH'), ('f', 'F'), ('$', 'EY'), ('$', 'SH'), ('a', 'AH'), ('c', '#'), ('i', '#'), ('e', '#'), ('n', 'N'), ('t', 'T')]"
aborting,AH B AO R T IH NG,"[('a', 'AH'), ('b', 'B'), ('o', 'AO'), ('r', 'R'), ('t', 'T'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
abortion,AH B AO R SH AH N,"[('a', 'AH'), ('b', 'B'), ('o', 'AO'), ('r', 'R'), ('t', 'SH'), ('i', '#'), ('o', 'AH'), ('n', 'N')]"
abortionist,AH B AO R SH AH N IH S T,"[('a', 'AH'), ('b', 'B'), ('o', 'AO'), ('r', 'R'), ('t', 'SH'), ('i', '#'), ('o', 'AH'), ('n', 'N'), ('i', 'IH'), ('s', 'S'), ('t', 'T')]"
abortive,AH B AO R T IH V,"[('a', 'AH'), ('b', 'B'), ('o', 'AO'), ('r', 'R'), ('t', 'T'), ('i', 'IH'), ('v', 'V'), ('e', '#')]"
abott,AH B AA T,"[('a', 'AH'), ('b', 'B'), ('o', 'AA'), ('t', '#'), ('t', 'T')]"
abou,AH B UW,"[('a', 'AH'), ('b', 'B'), ('o', '#'), ('u', 'UW')]"
aboud,AA B UW D,"[('a', 'AA'), ('b', 'B'), ('o', '#'), ('u', 'UW'), ('d', 'D')]"
abouhalima,AA B UW HH AA L IY M AH,"[('a', 'AA'), ('b', 'B'), ('o', '#'), ('u', 'UW'), ('h', 'HH'), ('a', 'AA'), ('l', 'L'), ('i', 'IY'), ('m', 'M'), ('a', 'AH')]"
abound,AH B AW N D,"[('a', 'AH'), ('b', 'B'), ('o', 'AW'), ('u', '#'), ('n', 'N'), ('d', 'D')]"
abounded,AH B AW N D IH D,"[('a', 'AH'), ('b', 'B'), ('o', 'AW'), ('u', '#'), ('n', 'N'), ('d', 'D'), ('e', 'IH'), ('d', 'D')]"
abounding,AH B AW N D IH NG,"[('a', 'AH'), ('b', 'B'), ('o', 'AW'), ('u', '#'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
abounds,AH B AW N D Z,"[('a', 'AH'), ('b', 'B'), ('o', 'AW'), ('u', '#'), ('n', 'N'), ('d', 'D'), ('s', 'Z')]"
about,AH B AW T,"[('a', 'AH'), ('b', 'B'), ('o', 'AW'), ('u', '#'), ('t', 'T')]"
above,AH B AH V,"[('a', 'AH'), ('b', 'B'), ('o', 'AH'), ('v', 'V'), ('e', '#')]"
aboveboard,AH B AH V B AO R D,"[('a', 'AH'), ('b', 'B'), ('o', 'AH'), ('v', 'V'), ('e', '#'), ('b', 'B'), ('o', 'AO'), ('a', '#'), ('r', 'R'), ('d', 'D')]"
abplanalp,AE B P L AH N AE L P,"[('a', 'AE'), ('b', 'B'), ('p', 'P'), ('l', 'L'), ('a', 'AH'), ('n', 'N'), ('a', 'AE'), ('l', 'L'), ('p', 'P')]"
abra,AA B R AH,"[('a', 'AA'), ('b', 'B'), ('r', 'R'), ('a', 'AH')]"
abracadabra,AE B R AH K AH D AE B R AH,"[('a', 'AE'), ('b', 'B'), ('r', 'R'), ('a', 'AH'), ('c', 'K'), ('a', 'AH'), ('d', 'D'), ('a', 'AE'), ('b', 'B'), ('r', 'R'), ('a', 'AH')]"
abrade,AE B R EY D,"[('a', 'AE'), ('b', 'B'), ('r', 'R'), ('a', 'EY'), ('d', 'D'), ('e', '#')]"
abraded,AE B R EY D IH D,"[('a', 'AE'), ('b', 'B'), ('r', 'R'), ('a', 'EY'), ('d', 'D'), ('e', 'IH'), ('d', 'D')]"
abrades,AE B R EY D Z,"[('a', 'AE'), ('b', 'B'), ('r', 'R'), ('a', 'EY'), ('d', 'D'), ('e', '#'), ('s', 'Z')]"
abraham,EY B R AH HH AE M,"[('a', 'EY'), ('b', 'B'), ('r', 'R'), ('a', 'AH'), ('h', 'HH'), ('a', 'AE'), ('m', 'M')]"
abrahamian,AE B R AH HH EY M IY AH N,"[('a', 'AE'), ('b', 'B'), ('r', 'R'), ('a', 'AH'), ('h', 'HH'), ('a', 'EY'), ('m', 'M'), ('i', 'IY'), ('a', 'AH'), ('n', 'N')]"
abrahamsen,AE B R AH HH AE M S AH N,"[('a', 'AE'), ('b', 'B'), ('r', 'R'), ('a', 'AH'), ('h', 'HH'), ('a', 'AE'), ('m', 'M'), ('s', 'S'), ('e', 'AH'), ('n', 'N')]"
abrahamson,AH B R AE HH AH M S AH N,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('a', 'AE'), ('h', 'HH'), ('a', 'AH'), ('m', 'M'), ('s', 'S'), ('o', 'AH'), ('n', 'N')]"
abram,AH B R AE M,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('a', 'AE'), ('m', 'M')]"
abramczyk,AA B R AH M CH IH K,"[('a', 'AA'), ('b', 'B'), ('r', 'R'), ('a', 'AH'), ('m', 'M'), ('$', 'CH'), ('$', 'IH'), ('c', 'K'), ('z', '#'), ('y', '#'), ('k', '#')]"
abramo,AA B R AA M OW,"[('a', 'AA'), ('b', 'B'), ('r', 'R'), ('a', 'AA'), ('m', 'M'), ('o', 'OW')]"
abramovitz,AH B R AA M AH V IH T S,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('a', 'AA'), ('m', 'M'), ('o', 'AH'), ('v', 'V'), ('i', 'IH'), ('t', 'T'), ('z', 'S')]"
abramowicz,AH B R AA M AH V IH CH,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('a', 'AA'), ('m', 'M'), ('o', 'AH'), ('w', 'V'), ('i', 'IH'), ('c', 'CH'), ('z', '#')]"
abramowitz,AH B R AA M AH W IH T S,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('a', 'AA'), ('m', 'M'), ('o', 'AH'), ('w', 'W'), ('i', 'IH'), ('t', 'T'), ('z', 'S')]"
abrams,EY B R AH M Z,"[('a', 'EY'), ('b', 'B'), ('r', 'R'), ('a', 'AH'), ('m', 'M'), ('s', 'Z')]"
abramson,EY B R AH M S AH N,"[('a', 'EY'), ('b', 'B'), ('r', 'R'), ('a', 'AH'), ('m', 'M'), ('s', 'S'), ('o', 'AH'), ('n', 'N')]"
abrasion,AH B R EY ZH AH N,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('$', 'EY'), ('$', 'ZH'), ('a', 'AH'), ('s', '#'), ('i', '#'), ('o', '#'), ('n', 'N')]"
abrasive,AH B R EY S IH V,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('a', 'EY'), ('s', 'S'), ('i', 'IH'), ('v', 'V'), ('e', '#')]"
abraxa,AH B R AE K S AH,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('a', 'AE'), ('$', 'K'), ('x', 'S'), ('a', 'AH')]"
abraxas,AH B R AE K S AH Z,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('a', 'AE'), ('x', 'K'), ('a', '#'), ('s', 'S'), ('$', 'AH'), ('$', 'Z')]"
abreast,AH B R EH S T,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('e', 'EH'), ('a', '#'), ('s', 'S'), ('t', 'T')]"
abrego,AA B R EH G OW,"[('a', 'AA'), ('b', 'B'), ('r', 'R'), ('e', 'EH'), ('g', 'G'), ('o', 'OW')]"
abreu,AH B R UW,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('e', '#'), ('u', 'UW')]"
abridge,AH B R IH JH,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('i', 'IH'), ('d', '#'), ('g', 'JH'), ('e', '#')]"
abridged,AH B R IH JH D,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('i', 'IH'), ('d', '#'), ('g', 'JH'), ('e', '#'), ('d', 'D')]"
abridgement,AH B R IH JH M AH N T,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('i', 'IH'), ('d', '#'), ('g', 'JH'), ('e', '#'), ('m', 'M'), ('e', 'AH'), ('n', 'N'), ('t', 'T')]"
abridges,AH B R IH JH AH Z,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('i', 'IH'), ('d', '#'), ('g', 'JH'), ('e', 'AH'), ('s', 'Z')]"
abridging,AH B R IH JH IH NG,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('i', 'IH'), ('d', '#'), ('g', 'JH'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
abril,AH B R IH L,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('i', 'IH'), ('l', 'L')]"
abroad,AH B R AO D,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('o', 'AO'), ('a', '#'), ('d', 'D')]"
abrogate,AE B R AH G EY T,"[('a', 'AE'), ('b', 'B'), ('r', 'R'), ('o', 'AH'), ('g', 'G'), ('a', 'EY'), ('t', 'T'), ('e', '#')]"
abrogated,AE B R AH G EY T IH D,"[('a', 'AE'), ('b', 'B'), ('r', 'R'), ('o', 'AH'), ('g', 'G'), ('a', 'EY'), ('t', 'T'), ('e', 'IH'), ('d', 'D')]"
abrogating,AE B R AH G EY T IH NG,"[('a', 'AE'), ('b', 'B'), ('r', 'R'), ('o', 'AH'), ('g', 'G'), ('a', 'EY'), ('t', 'T'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
abrogation,AE B R AH G EY SH AH N,"[('a', 'AE'), ('b', 'B'), ('r', 'R'), ('o', 'AH'), ('g', 'G'), ('$', 'EY'), ('$', 'SH'), ('a', 'AH'), ('t', '#'), ('i', '#'), ('o', '#'), ('n', 'N')]"
abrol,AH B R OW L,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('o', 'OW'), ('l', 'L')]"
abron,AH B R AA N,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('o', 'AA'), ('n', 'N')]"
abrupt,AH B R AH P T,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('u', 'AH'), ('p', 'P'), ('t', 'T')]"
abruptly,AH B R AH P T L IY,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('u', 'AH'), ('p', 'P'), ('t', 'T'), ('l', 'L'), ('y', 'IY')]"
abruptness,AH B R AH P T N AH S,"[('a', 'AH'), ('b', 'B'), ('r', 'R'), ('u', 'AH'), ('p', 'P'), ('t', 'T'), ('n', 'N'), ('e', 'AH'), ('s', '#'), ('s', 'S')]"
abrutyn,EY B R UW T IH N,"[('a', 'EY'), ('b', 'B'), ('r', 'R'), ('u', 'UW'), ('t', 'T'), ('y', 'IH'), ('n', 'N')]"
abruzzese,AA B R UW T S EY Z IY,"[('a', 'AA'), ('b', 'B'), ('r', 'R'), ('u', 'UW'), ('z', '#'), ('z', '#'), ('e', 'T'), ('s', 'S'), ('$', 'EY'), ('$', 'Z'), ('e', 'IY')]"
abruzzo,AA B R UW Z OW,"[('a', 'AA'), ('b', 'B'), ('r', 'R'), ('u', 'UW'), ('z', '#'), ('z', 'Z'), ('o', 'OW')]"
absalom,AE B S AH L AH M,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('a', 'AH'), ('l', 'L'), ('o', 'AH'), ('m', 'M')]"
absaraka,AE B S AA R AH K AH,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('a', 'AA'), ('r', 'R'), ('a', 'AH'), ('k', 'K'), ('a', 'AH')]"
abscam,AE B S K AE M,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('c', 'K'), ('a', 'AE'), ('m', 'M')]"
abscess,AE B S EH S,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('c', '#'), ('e', 'EH'), ('s', '#'), ('s', 'S')]"
abscond,AE B S K AA N D,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('c', 'K'), ('o', 'AA'), ('n', 'N'), ('d', 'D')]"
absconded,AE B S K AA N D IH D,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('c', 'K'), ('o', 'AA'), ('n', 'N'), ('d', 'D'), ('e', 'IH'), ('d', 'D')]"
absconding,AE B S K AA N D IH NG,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('c', 'K'), ('o', 'AA'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
absconds,AE B S K AA N D Z,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('c', 'K'), ('o', 'AA'), ('n', 'N'), ('d', 'D'), ('s', 'Z')]"
absecon,AE B S AH K AO N,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('e', 'AH'), ('c', 'K'), ('o', 'AO'), ('n', 'N')]"
absence,AE B S AH N S,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('e', 'AH'), ('n', 'N'), ('c', 'S'), ('e', '#')]"
absent,AE B S AH N T,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('e', 'AH'), ('n', 'N'), ('t', 'T')]"
absentee,AE B S AH N T IY,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('e', 'AH'), ('n', 'N'), ('t', 'T'), ('e', '#'), ('e', 'IY')]"
absenteeism,AE B S AH N T IY IH Z AH M,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('e', 'AH'), ('n', 'N'), ('t', 'T'), ('e', '#'), ('e', 'IY'), ('i', 'IH'), ('s', 'Z'), ('$', 'AH'), ('m', 'M')]"
absentia,AE B S EH N SH AH,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('e', 'EH'), ('n', 'N'), ('t', 'SH'), ('i', '#'), ('a', 'AH')]"
absher,AE B SH ER,"[('a', 'AE'), ('b', 'B'), ('s', 'SH'), ('h', '#'), ('e', 'ER'), ('r', '#')]"
abshier,AE B SH IY ER,"[('a', 'AE'), ('b', 'B'), ('s', 'SH'), ('h', '#'), ('i', 'IY'), ('e', 'ER'), ('r', '#')]"
abshire,AE B SH AY R,"[('a', 'AE'), ('b', 'B'), ('s', 'SH'), ('h', '#'), ('i', 'AY'), ('r', 'R'), ('e', '#')]"
absinthe,AE B S IH N TH,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('i', 'IH'), ('n', 'N'), ('t', 'TH'), ('h', '#'), ('e', '#')]"
abso,AE B S OW,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('o', 'OW')]"
absolom,AE B S AH L AH M,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('o', 'AH'), ('l', 'L'), ('o', 'AH'), ('m', 'M')]"
absolut,AE B S AH L UW T,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('o', 'AH'), ('l', 'L'), ('u', 'UW'), ('t', 'T')]"
absolute,AE B S AH L UW T,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('o', 'AH'), ('l', 'L'), ('u', 'UW'), ('t', 'T'), ('e', '#')]"
absolutely,AE B S AH L UW T L IY,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('o', 'AH'), ('l', 'L'), ('u', 'UW'), ('t', 'T'), ('e', '#'), ('l', 'L'), ('y', 'IY')]"
absoluteness,AE B S AH L UW T N AH S,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('o', 'AH'), ('l', 'L'), ('u', 'UW'), ('t', 'T'), ('e', '#'), ('n', 'N'), ('e', 'AH'), ('s', '#'), ('s', 'S')]"
absolution,AE B S AH L UW SH AH N,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('o', 'AH'), ('l', 'L'), ('u', 'UW'), ('t', 'SH'), ('i', '#'), ('o', 'AH'), ('n', 'N')]"
absolutism,AE B S AH L UW T IH Z AH M,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('o', 'AH'), ('l', 'L'), ('u', 'UW'), ('t', 'T'), ('i', 'IH'), ('s', 'Z'), ('$', 'AH'), ('m', 'M')]"
absolutist,AE B S AH L UW T IH S T,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('o', 'AH'), ('l', 'L'), ('u', 'UW'), ('t', 'T'), ('i', 'IH'), ('s', 'S'), ('t', 'T')]"
absolve,AH B Z AA L V,"[('a', 'AH'), ('b', 'B'), ('s', 'Z'), ('o', 'AA'), ('l', 'L'), ('v', 'V'), ('e', '#')]"
absolved,AH B Z AA L V D,"[('a', 'AH'), ('b', 'B'), ('s', 'Z'), ('o', 'AA'), ('l', 'L'), ('v', 'V'), ('e', '#'), ('d', 'D')]"
absolves,AH B Z AA L V Z,"[('a', 'AH'), ('b', 'B'), ('s', 'Z'), ('o', 'AA'), ('l', 'L'), ('v', 'V'), ('e', '#'), ('s', 'Z')]"
absolving,AH B Z AA L V IH NG,"[('a', 'AH'), ('b', 'B'), ('s', 'Z'), ('o', 'AA'), ('l', 'L'), ('v', 'V'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
absorb,AH B Z AO R B,"[('a', 'AH'), ('b', 'B'), ('s', 'Z'), ('o', 'AO'), ('r', 'R'), ('b', 'B')]"
absorbed,AH B Z AO R B D,"[('a', 'AH'), ('b', 'B'), ('s', 'Z'), ('o', 'AO'), ('r', 'R'), ('b', 'B'), ('e', '#'), ('d', 'D')]"
absorbency,AH B Z AO R B AH N S IY,"[('a', 'AH'), ('b', 'B'), ('s', 'Z'), ('o', 'AO'), ('r', 'R'), ('b', 'B'), ('e', 'AH'), ('n', 'N'), ('c', 'S'), ('y', 'IY')]"
absorbent,AH B Z AO R B AH N T,"[('a', 'AH'), ('b', 'B'), ('s', 'Z'), ('o', 'AO'), ('r', 'R'), ('b', 'B'), ('e', 'AH'), ('n', 'N'), ('t', 'T')]"
absorber,AH B Z AO R B ER,"[('a', 'AH'), ('b', 'B'), ('s', 'Z'), ('o', 'AO'), ('r', 'R'), ('b', 'B'), ('e', 'ER'), ('r', '#')]"
absorbing,AH B Z AO R B IH NG,"[('a', 'AH'), ('b', 'B'), ('s', 'Z'), ('o', 'AO'), ('r', 'R'), ('b', 'B'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
absorbs,AH B Z AO R B Z,"[('a', 'AH'), ('b', 'B'), ('s', 'Z'), ('o', 'AO'), ('r', 'R'), ('b', 'B'), ('s', 'Z')]"
absorption,AH B Z AO R P SH AH N,"[('a', 'AH'), ('b', 'B'), ('s', 'Z'), ('o', 'AO'), ('r', 'R'), ('p', 'P'), ('t', 'SH'), ('i', '#'), ('o', 'AH'), ('n', 'N')]"
abstain,AH B S T EY N,"[('a', 'AH'), ('b', 'B'), ('s', 'S'), ('t', 'T'), ('a', 'EY'), ('i', '#'), ('n', 'N')]"
abstained,AH B S T EY N D,"[('a', 'AH'), ('b', 'B'), ('s', 'S'), ('t', 'T'), ('a', 'EY'), ('i', '#'), ('n', 'N'), ('e', '#'), ('d', 'D')]"
abstaining,AH B S T EY N IH NG,"[('a', 'AH'), ('b', 'B'), ('s', 'S'), ('t', 'T'), ('a', 'EY'), ('i', '#'), ('n', 'N'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
abstention,AH B S T EH N CH AH N,"[('a', 'AH'), ('b', 'B'), ('s', 'S'), ('t', 'T'), ('e', 'EH'), ('n', 'N'), ('t', 'CH'), ('i', '#'), ('o', 'AH'), ('n', 'N')]"
abstinence,AE B S T AH N AH N S,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('t', 'T'), ('i', 'AH'), ('n', 'N'), ('e', 'AH'), ('n', 'N'), ('c', 'S'), ('e', '#')]"
abstinent,AE B S T AH N AH N T,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('t', 'T'), ('i', 'AH'), ('n', 'N'), ('e', 'AH'), ('n', 'N'), ('t', 'T')]"
abston,AE B S T AH N,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('t', 'T'), ('o', 'AH'), ('n', 'N')]"
abstract,AE B S T R AE K T,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('a', 'AE'), ('c', 'K'), ('t', 'T')]"
abstracted,AE B S T R AE K T IH D,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('a', 'AE'), ('c', 'K'), ('t', 'T'), ('e', 'IH'), ('d', 'D')]"
abstraction,AE B S T R AE K SH AH N,"[('a', 'AE'), ('b', 'B'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('a', 'AE'), ('c', 'K'), ('t', 'SH'), ('i', '#'), ('o', 'AH'), ('n', 'N')]"
abstruse,AH B S T R UW S,"[('a', 'AH'), ('b', 'B'), ('s', 'S'), ('t', 'T'), ('r', 'R'), ('u', 'UW'), ('s', 'S'), ('e', '#')]"
absurd,AH B S ER D,"[('a', 'AH'), ('b', 'B'), ('s', 'S'), ('u', '#'), ('r', 'ER'), ('d', 'D')]"
absurdist,AH B S ER D IH S T,"[('a', 'AH'), ('b', 'B'), ('s', 'S'), ('u', '#'), ('r', 'ER'), ('d', 'D'), ('i', 'IH'), ('s', 'S'), ('t', 'T')]"
absurdities,AH B S ER D AH T IY Z,"[('a', 'AH'), ('b', 'B'), ('s', 'S'), ('u', '#'), ('r', 'ER'), ('d', 'D'), ('i', 'AH'), ('t', 'T'), ('i', '#'), ('e', 'IY'), ('s', 'Z')]"
absurdity,AH B S ER D AH T IY,"[('a', 'AH'), ('b', 'B'), ('s', 'S'), ('u', '#'), ('r', 'ER'), ('d', 'D'), ('i', 'AH'), ('t', 'T'), ('y', 'IY')]"
absurdly,AH B S ER D L IY,"[('a', 'AH'), ('b', 'B'), ('s', 'S'), ('u', '#'), ('r', 'ER'), ('d', 'D'), ('l', 'L'), ('y', 'IY')]"
abts,AE B T S,"[('a', 'AE'), ('b', 'B'), ('t', 'T'), ('s', 'S')]"
